ACL/*/read,ACL/as6iic7p4c/read,ACL/as6iic7p4c/write,DataRate,DeviceDistance,DownloadTime,EndTime,FileSize,StartTime,createdAt,objectId,updatedAt
TRUE,TRUE,TRUE,1855.186644,1,10.662,1.43674E+12,19780,1.43674E+12,2015-07-12T23:11:50.447Z,Svusv40FuG,2015-07-12T23:11:59.019Z
TRUE,TRUE,TRUE,1697.999828,5,11.649,1.43674E+12,19780,1.43674E+12,2015-07-12T23:16:35.026Z,TENOSqHiMh,2015-07-12T23:16:43.777Z
TRUE,TRUE,TRUE,33060.42935,15,15.605,1.43675E+12,515908,1.43675E+12,2015-07-13T00:26:08.415Z,Ta6L18EJEq,2015-07-13T00:26:19.680Z
TRUE,TRUE,TRUE,35060.0068,5,14.715,1.43675E+12,515908,1.43675E+12,2015-07-13T00:12:59.928Z,TdZNy285BC,2015-07-13T00:13:09.240Z
TRUE,TRUE,TRUE,32049.9472,5,16.097,1.43675E+12,515908,1.43675E+12,2015-07-13T00:13:32.479Z,TdrQFhJDav,2015-07-13T00:13:41.495Z
TRUE,TRUE,TRUE,9634.937646,8,10.264,1.43674E+12,98893,1.43674E+12,2015-07-12T23:45:03.364Z,TfSJKR4n0e,2015-07-12T23:45:09.857Z
TRUE,TRUE,TRUE,2244.666364,3,8.812,1.43674E+12,19780,1.43674E+12,2015-07-12T23:00:41.630Z,To8Fd0xCck,2015-07-12T23:00:48.671Z
TRUE,TRUE,TRUE,0.074389918,1,887.217,1.43676E+12,66,1.43675E+12,2015-07-13T02:29:09.567Z,UJ7n8wNrRZ,2015-07-13T02:42:40.048Z
TRUE,TRUE,TRUE,33173.09671,15,15.552,1.43675E+12,515908,1.43675E+12,2015-07-13T00:24:50.648Z,UlkNEZzsXo,2015-07-13T00:25:02.188Z
TRUE,TRUE,TRUE,9160.151908,8,10.796,1.43674E+12,98893,1.43674E+12,2015-07-12T23:45:32.754Z,VBPTplA5ha,2015-07-12T23:45:41.048Z
TRUE,TRUE,TRUE,31253.89229,8,16.507,1.43675E+12,515908,1.43675E+12,2015-07-13T00:17:08.939Z,VK399QGKtL,2015-07-13T00:17:14.849Z
TRUE,TRUE,TRUE,49388.09114,5,10.446,1.43675E+12,515908,1.43675E+12,2015-07-13T00:12:32.756Z,VUpiJPvK3d,2015-07-13T00:12:40.058Z
TRUE,TRUE,TRUE,57611.16695,1,8.955,1.43675E+12,515908,1.43675E+12,2015-07-13T00:04:27.143Z,Vfy4nJnrgZ,2015-07-13T00:04:35.194Z
TRUE,TRUE,TRUE,11559.67271,10,8.555,1.43674E+12,98893,1.43674E+12,2015-07-12T23:46:39.937Z,VkceMklH6x,2015-07-12T23:46:46.773Z
TRUE,TRUE,TRUE,1495.765275,8,13.224,1.43674E+12,19780,1.43674E+12,2015-07-12T23:19:09.706Z,XPMnEDcwfU,2015-07-12T23:19:15.468Z
TRUE,TRUE,TRUE,2124.825438,15,9.309,1.43674E+12,19780,1.43674E+12,2015-07-12T23:27:29.502Z,XV3DECTui9,2015-07-12T23:27:36.578Z
TRUE,TRUE,TRUE,10348.7861,3,9.556,1.43674E+12,98893,1.43674E+12,2015-07-12T23:39:57.252Z,XfT1s6lRV9,2015-07-12T23:40:02.853Z
TRUE,TRUE,TRUE,2046.983339,20,9.663,1.43674E+12,19780,1.43674E+12,2015-07-12T23:32:10.690Z,XxSRHnWuKR,2015-07-12T23:32:17.939Z
TRUE,TRUE,TRUE,1866.037736,10,10.6,1.43674E+12,19780,1.43674E+12,2015-07-12T23:24:13.678Z,YAdn8Tvt2j,2015-07-12T23:24:22.093Z
TRUE,TRUE,TRUE,54300.38943,3,9.501,1.43675E+12,515908,1.43675E+12,2015-07-13T00:08:11.930Z,YMxKFSAq8O,2015-07-13T00:08:17.181Z
TRUE,TRUE,TRUE,7024.648388,10,14.078,1.43674E+12,98893,1.43674E+12,2015-07-12T23:46:12.474Z,YW0ALkc3nd,2015-07-12T23:46:20.362Z
TRUE,TRUE,TRUE,11826.47692,8,8.362,1.43674E+12,98893,1.43674E+12,2015-07-12T23:44:07.897Z,YaNvjeP3nN,2015-07-12T23:44:13.713Z
